Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
sfglobe.com,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,0
thenextweb.com,0,0,1,6,0,0,0,0,0,1,0,1,1,1,1,1,0
olx.ro,0,0,1,5,0,0,0,0,0,1,0,1,1,1,1,1,0
deadspin.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
correios.com.br,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,0
filehippo.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,1,0
conservativetribune.com,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
distractify.com,0,0,1,10,0,0,0,0,0,1,1,1,1,1,1,1,0
steamcommunity.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
bdnews24.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
kienthuc.net.vn,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
kakaku.com,0,0,1,6,0,0,0,0,0,1,0,1,0,0,1,0,0
emgn.com,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,0
thenextweb.com,0,0,1,5,0,0,0,0,0,1,0,1,1,1,1,1,0
esporte.uol.com.br,0,0,1,9,0,0,0,0,0,1,1,1,1,1,1,1,0
motthegioi.vn,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
ap.org,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,1,0
gawker.com,0,0,1,2,0,0,0,0,0,1,0,1,1,1,1,1,0
superuser.com,0,0,1,3,0,0,0,0,0,1,1,0,0,0,1,0,0
bestblackhatforum.com,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0
nesn.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
medium.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
olx.co.id,0,0,1,7,0,0,1,0,0,1,0,1,1,1,1,1,0
nypost.com,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,0
ap.org,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,1,0
kenh14.vn,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
correios.com.br,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
nguyentandung.org,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0
myegy.to,0,0,1,3,0,0,0,0,1,0,1,1,0,0,1,0,0
babal.net,0,0,1,3,0,0,0,0,0,0,1,1,1,1,1,1,0
themeforest.net,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,0
otomoto.pl,0,0,1,6,0,0,0,0,0,0,0,1,0,0,1,0,0
mic.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
babal.net,0,0,1,3,0,0,0,0,0,0,1,1,1,1,1,1,0
serverfault.com,0,0,1,3,0,0,1,0,0,1,1,0,0,0,1,0,0
grantland.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
uproxx.com,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,0
qz.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
censor.net.ua,0,0,1,3,0,0,0,0,0,1,0,1,1,1,1,1,0
askubuntu.com,0,0,1,3,0,0,0,0,0,1,1,0,0,0,1,0,0
clien.net,0,0,1,3,0,0,0,0,0,0,1,1,1,1,1,1,0
gizmodo.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
mediaset.it,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0
otomoto.pl,0,0,1,7,0,0,0,0,0,0,0,1,0,0,1,0,0
twitter.com,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0
web.de,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,0
extratorrent.cc,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,1,0
thenextweb.com,0,0,1,6,0,0,0,0,0,1,0,1,1,1,1,1,0
correios.com.br,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
thenextweb.com,0,0,1,6,0,0,0,0,0,1,0,1,1,1,1,1,0
plarium.com,0,0,1,5,0,0,0,0,0,1,0,0,1,1,1,1,0
emgn.com,0,0,1,2,0,0,0,0,0,1,0,1,1,1,1,1,0
thenextweb.com,0,0,1,5,0,0,0,0,0,1,0,1,1,1,1,1,0
kakaku.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
babal.net,0,0,1,4,0,0,0,0,0,0,0,0,1,1,1,1,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
io9.com,0,0,1,3,0,0,0,0,0,1,1,0,1,1,1,1,0
grantland.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
squarespace.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,1,0
themeforest.net,0,0,1,4,0,0,0,0,0,1,0,1,1,1,1,1,0
otomoto.pl,0,0,1,2,0,0,0,0,0,0,0,1,1,1,1,1,0
ecnavi.jp,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0
seekingalpha.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
indianexpress.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
interpark.com,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1,0
emgn.com,0,0,1,2,0,0,0,0,0,1,0,1,1,1,1,1,0
tunein.com,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,1,0
olx.in,0,0,1,3,0,0,0,0,0,1,0,0,1,1,1,1,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
wpengine.com,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1,0
gov.uk,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,0,0
deadspin.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
censor.net.ua,0,0,1,14,0,0,0,0,0,1,0,1,1,1,1,1,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
tune.pk,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
ap.org,0,0,1,4,0,0,0,0,0,1,0,1,1,1,1,1,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
sberbank.ru,0,0,1,9,0,0,0,0,0,1,0,1,1,1,1,1,0
syosetu.com,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,0
kenh14.vn,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0
rt.com,0,0,1,3,0,0,1,0,0,1,1,1,0,0,1,1,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
putlocker.is,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0
akhbarelyom.com,0,0,1,5,0,0,0,0,0,0,0,1,1,1,1,1,0
correios.com.br,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
interpark.com,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0
olx.ua,0,0,1,3,0,0,0,0,0,1,1,0,0,0,1,0,0
katproxy.com,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
depositphotos.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
nypost.com,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,0
eksisozluk.com,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0
katproxy.com,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0
io9.com,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1,1,0
web.de,0,0,1,6,0,0,0,0,0,1,1,1,1,1,1,1,0
xhamster.com,0,0,1,3,0,0,0,0,0,1,0,1,1,1,1,1,0
ifttt.com,0,0,1,2,0,0,1,0,0,1,0,1,0,0,1,0,0
distractify.com,0,0,1,10,0,0,0,0,0,1,0,0,1,1,1,1,0
ap.org,0,0,1,4,0,0,0,0,0,1,0,1,1,1,1,1,0
aljazeera.net,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,1,0
kakaku.com,0,0,1,6,0,0,0,0,0,1,0,1,0,0,1,0,0
genius.com,0,0,1,3,0,0,0,0,0,1,0,1,1,1,1,1,0
mirtesen.ru,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0
jalopnik.com,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,0
nypost.com,0,0,1,4,0,0,1,0,0,1,1,1,0,0,1,0,0
distractify.com,0,0,1,10,0,0,0,0,0,1,0,0,1,1,1,1,0
bongda88.info,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0
hollywoodlife.com,0,0,1,4,0,0,0,0,0,1,0,1,1,1,1,1,0
mylust.com,0,0,1,3,0,0,1,0,0,0,1,1,0,0,1,0,0
plarium.com,0,0,1,5,0,0,0,0,0,1,0,0,1,1,1,1,0
hubpages.com,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,1,0
kotaku.com,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0
olx.ro,0,0,1,5,0,0,0,0,0,1,0,1,1,1,1,1,0
io9.com,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1,1,0
techcrunch.com,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0
ap.org,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,1,0
twitter.com,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0
paytm.com,0,0,1,2,0,0,0,0,0,1,0,1,1,1,1,1,0
thenextweb.com,0,0,1,6,0,0,0,0,0,1,0,1,1,1,1,1,0
nguyentandung.org,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0
archive.org,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
perezhilton.com,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0
elitedaily.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,1,0
tobogo.net,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0
babal.net,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,1,0
myspace.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
web.tv,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,0
ck101.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
allegro.pl,0,0,1,2,0,0,0,0,0,1,0,1,1,1,1,1,0
fishki.net,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
otomoto.pl,0,0,1,5,0,0,0,0,0,0,0,1,0,0,1,0,0
hollywoodlife.com,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,0
torcache.net,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
serverfault.com,0,0,1,3,0,0,1,0,0,1,1,0,0,0,1,0,0
olx.ua,0,0,1,4,0,0,0,0,0,1,1,0,0,0,1,0,0
tinnhanh360.net,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0
sfglobe.com,0,0,1,4,0,0,0,0,0,1,0,0,1,1,1,1,0
rt.com,0,0,1,3,0,0,1,0,0,1,1,1,0,0,1,1,0
otomoto.pl,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0
motherless.com,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0
auto.ru,0,0,1,4,0,0,0,0,0,0,0,1,1,1,1,1,0
indianexpress.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
variety.com,0,0,1,8,0,0,0,0,0,1,0,1,0,0,1,0,0
